iter	Passed	Remaining
0	5	5862
1	12	6164
2	18	6000
3	25	6225
4	31	6345
5	38	6322
6	44	6318
7	50	6308
8	59	6498
9	66	6555
10	72	6526
11	79	6528
12	86	6553
13	94	6668
14	103	6776
15	110	6811
16	116	6718
17	124	6778
18	129	6683
19	135	6662
20	142	6629
21	148	6606
22	154	6577
23	161	6578
24	168	6565
25	175	6560
26	181	6544
27	188	6533
28	195	6535
29	202	6533
30	208	6508
31	214	6498
32	222	6530
33	229	6522
34	236	6508
35	244	6537
36	252	6570
37	258	6552
38	265	6531
39	272	6538
40	279	6548
41	295	6740
42	326	7272
43	335	7280
44	340	7236
45	348	7227
46	354	7185
47	361	7167
48	367	7133
49	373	7091
50	380	7074
51	387	7056
52	392	7017
53	398	6984
54	405	6966
55	412	6954
56	419	6939
57	425	6918
58	433	6911
59	442	6934
60	449	6926
61	457	6922
62	465	6920
63	472	6914
64	479	6895
65	488	6915
66	496	6909
67	503	6897
68	510	6883
69	517	6874
70	524	6861
71	532	6863
72	540	6858
73	547	6850
74	554	6841
75	561	6827
76	568	6819
77	574	6796
78	581	6781
79	589	6775
80	596	6771
81	603	6751
82	611	6752
83	618	6749
84	626	6742
85	636	6760
86	642	6746
87	650	6739
88	657	6729
89	665	6731
90	673	6725
91	680	6720
92	688	6714
93	696	6712
94	703	6704
95	710	6691
96	717	6676
97	723	6655
98	730	6644
99	737	6634
100	745	6635
101	753	6629
102	760	6622
103	767	6608
104	773	6593
105	780	6579
106	786	6567
107	794	6560
108	800	6541
109	806	6525
110	814	6519
111	820	6505
112	826	6487
113	832	6473
114	838	6453
115	844	6438
116	852	6430
117	858	6418
118	864	6400
119	870	6384
120	879	6387
121	884	6368
122	891	6353
123	897	6340
124	903	6325
125	909	6310
126	914	6287
127	921	6278
128	926	6258
129	931	6235
130	937	6220
131	944	6212
132	950	6197
133	955	6178
134	960	6156
135	966	6138
136	971	6119
137	976	6098
138	981	6076
139	986	6060
140	991	6040
141	996	6020
142	1002	6005
143	1007	5987
144	1012	5969
145	1018	5958
146	1024	5945
147	1030	5930
148	1036	5920
149	1042	5906
150	1050	5905
151	1070	5973
152	1080	5981
153	1087	5972
154	1093	5958
